Date,Stock Ticker,Open Price,Close Price,High Price,Low Price,Trading Volume,Sentiment Score,Mentions Volume,News Sentiment,Volatility Index,5d MA,10d MA,20d MA,MACD,RSI,Momentum,Beta,Alpha,Sharpe Ratio,Day Return %,Week Return %,Month Return %,Sector
2020-01-01,AAPL,593.08,1025.42,989.97,1374.69,75468179,-0.162,4829,-0.119,44.92,988.45,1255.07,937.14,-2.95,21.03,-6.86,0.64,0.0355,1.04,-1.29,5.03,11.43,Tech
2020-01-01,TSLA,1428.54,1205.19,299.96,811.77,76301798,0.63,5359,0.32,31.0,666.51,128.88,1080.7,-3.53,72.35,-7.95,0.95,-0.0427,-0.88,-3.75,-4.99,-17.34,Finance
2020-01-01,AMZN,1111.39,413.18,1314.97,1101.12,6322432,0.776,8129,0.957,31.83,1023.88,1082.32,65.04,1.97,54.75,7.37,1.22,-0.041,1.34,0.93,6.66,-12.98,Tech
2020-01-01,GOOGL,918.05,956.07,939.02,682.27,97507225,-0.51,9855,0.904,21.24,926.42,141.3,99.63,0.67,93.18,-4.69,0.81,-0.0083,0.56,0.0,-8.07,13.7,Consumer
2020-01-01,MSFT,276.23,879.03,277.95,963.55,55810791,0.149,4784,-0.209,28.51,404.46,912.28,1480.39,-0.46,26.6,8.83,1.0,-0.0492,1.09,-4.38,-1.26,2.72,Healthcare
2020-01-01,NFLX,276.19,1257.6,1445.39,543.84,94282680,0.537,7954,0.232,47.87,1228.52,1020.39,713.46,-3.11,5.94,8.95,1.27,-0.0406,0.76,-0.47,1.92,6.85,Healthcare
2020-01-01,NVDA,134.22,1363.83,801.63,486.68,11087912,-0.422,3732,0.782,39.08,1208.52,582.24,1406.94,-2.22,54.39,-0.42,0.98,0.0433,0.99,1.33,7.05,-7.14,Consumer
2020-01-01,META,1305.96,67.63,155.7,888.43,97642798,-0.182,6073,0.662,10.48,1484.02,1327.14,1108.35,-1.44,52.16,9.17,0.63,0.0292,-0.57,-2.67,7.13,-0.45,Healthcare
2020-01-01,AMD,921.62,1027.33,958.91,772.29,50200708,0.048,6517,-0.041,14.66,303.82,1210.74,590.8,2.85,31.17,-9.43,0.8,0.0173,-0.94,-3.76,-6.31,10.46,Healthcare
2020-01-01,INTC,1076.71,125.16,417.14,890.33,45345950,-0.73,1662,-0.478,46.95,1279.37,1392.64,268.72,4.89,98.65,-8.17,1.69,0.033,0.36,3.65,9.34,15.04,Tech
2020-01-02,AAPL,79.85,845.85,1215.36,465.66,46089778,-0.948,1513,-0.726,43.95,1314.37,506.59,1468.32,-3.16,6.97,-5.13,1.93,-0.025,0.02,1.25,2.77,18.97,Finance
2020-01-02,TSLA,1456.37,467.07,1235.84,582.09,93518988,-0.694,6604,-0.024,29.45,981.14,81.22,897.52,-1.58,56.95,-5.82,0.72,0.0226,0.0,-3.45,3.18,14.04,Tech
2020-01-02,AMZN,1257.04,494.83,1469.47,171.65,96925418,0.254,1117,0.446,34.68,784.26,1226.62,328.92,-2.2,26.02,-4.95,1.52,0.0116,2.75,1.29,7.78,-17.3,Tech
2020-01-02,GOOGL,357.89,561.79,777.71,125.8,92880960,-0.853,3754,0.94,21.59,1438.03,373.32,1038.4,-4.56,0.19,-0.95,1.86,0.0349,2.28,2.35,-3.59,-6.27,Finance
2020-01-02,MSFT,313.65,950.87,709.69,417.51,72454101,-0.621,6942,0.724,41.71,1460.4,727.38,183.47,-2.81,98.78,-8.74,0.95,-0.0217,-0.95,0.98,-1.7,9.96,Tech
2020-01-02,NFLX,315.94,534.37,1142.54,157.66,38117501,-0.324,9049,-0.592,34.13,980.46,1235.12,1308.65,4.02,48.16,1.11,1.74,0.0264,-0.97,-3.84,9.7,-3.28,Finance
2020-01-02,NVDA,491.15,1112.41,242.08,200.47,47916814,-0.844,6198,0.44,37.79,571.36,363.4,180.7,3.43,85.72,-3.81,1.86,0.0353,2.11,-3.75,-9.67,-2.55,Tech
2020-01-02,META,810.9,636.56,843.03,1228.75,26830553,-0.617,8912,-0.422,25.0,1234.89,502.27,392.48,-3.32,84.01,-8.57,0.95,0.0049,2.94,-4.55,7.34,11.77,Healthcare
2020-01-02,AMD,676.32,149.11,842.06,106.37,17584465,0.823,3684,0.367,27.22,179.42,686.67,182.57,-1.34,81.23,5.06,0.59,-0.0086,0.86,-2.66,6.85,13.34,Tech
2020-01-02,INTC,472.28,1186.45,179.74,1005.47,58736192,-0.961,281,0.332,18.31,471.36,444.15,200.49,-1.89,45.9,3.07,1.88,0.0449,0.73,-4.4,-4.75,11.66,Tech
2020-01-03,AAPL,937.19,464.35,656.08,445.21,77621704,0.307,6929,-0.455,47.92,1479.05,718.92,809.56,-3.52,89.59,5.87,1.0,-0.0331,0.1,3.05,6.43,-5.82,Tech
2020-01-03,TSLA,252.27,677.51,1287.26,1313.74,44732735,-0.231,2767,-0.531,47.86,1230.78,63.92,1046.14,1.22,36.73,8.78,0.52,-0.0464,1.67,-4.85,-3.4,-10.88,Consumer
